item,total_qty,weeks_observed,units_per_week_all,units_per_week_13w,occurrences,package_volume
"Sabra Classic Original Fresh Hummus Dip, Non-GMO, Gluten Free, Vegan Hummus Spread, 10 oz Tub",6.00,61.71,0.0972,0.0000,6,10 oz
"Great Value Fully Cooked Turkey Meatballs, 32 oz, Approximately 64 Meatballs (Frozen)",6.00,61.71,0.0972,0.0769,6,32 oz
"Fresh Red Seedless Grapes, Bag (2.25 lbs/Bag Est.)",6.00,61.71,0.0972,0.1538,6,2.25 lbs
"PopCorners No Artificial Colors or Flavors Spicy Queso Popped Corn Chips Bag, 7 oz​",6.00,61.71,0.0972,0.2308,6,7 oz
"Great Value Gluten-Free Beef Broth, 32 oz Carton (Shelf-Stable)",6.00,61.71,0.0972,0.3846,5,32 oz
"PLANTERS Deluxe Honey Roasted Whole Cashews, Sweet and Salty Snacks, Plant Based Protein, 8.25 oz Steel Can",6.00,61.71,0.0972,0.4615,5,8.25 oz
"Pillsbury Orange Rolls with Cinnabon Cinnamon and Orange Icing, 8 Count, 13.9 oz",5.00,61.71,0.0810,0.1538,3,8 Count
Popcorners White Cheddar Sharing Size - 7oz,5.00,61.71,0.0810,0.1538,4,7oz
"Smucker's Concord Grape Jelly, 18 oz",5.00,61.71,0.0810,0.0000,3,18 oz
"Bagel Bites Three Cheese Mini Pizza Bagel Frozen Snacks, 40 ct Box",5.00,61.71,0.0810,0.1538,5,40 ct
"Great Value Bowties, 12 oz",5.00,61.71,0.0810,0.0000,3,12 oz
So Good So You Energy Passionfruit Organic Probiotic Shot - 1.7 fl oz,5.00,61.71,0.0810,0.3077,4,1.7 fl oz
"Great Value Original Diced Tomatoes with Green Chilies, 10 oz",5.00,61.71,0.0810,0.2308,3,10 oz
"Great Value Jumbo Shell, 12 oz",5.00,61.71,0.0810,0.0000,4,12 oz
"Great Value Diced Tomatoes in Tomato Juice, 14.5 oz Can",5.00,61.71,0.0810,0.0769,3,14.5 oz
"Kodiak Protein-Packed Power Cakes Buttermilk Pancake and Waffle Mix, 20 oz Box",5.00,61.71,0.0810,0.1538,4,20 oz
"Core Power Protein Shake with 26g Protein by fairlife Milk, Chocolate, 14 fl oz",5.00,61.71,0.0810,0.2308,2,26g
"Heinz HomeStyle Beef Gravy Value Size, 18 oz Jar",5.00,61.71,0.0810,0.0000,4,18 oz
"Siete Mild Taco Seasoning, Mixed Spice, 1.31 oz. Packet",5.00,61.71,0.0810,0.3077,4,1.31 oz
"Honey Nut Cheerios, Heart Healthy Cereal, Affirmations Box, Family Size, 18.8 oz",5.00,61.71,0.0810,0.0769,5,18.8 oz
"Crystal Geyser Alpine Spring Water, 1 Gallon Plastic Jug",5.00,61.71,0.0810,0.1538,3,1 Gallon
"Oikos Pro 23g Protein, Vanilla Yogurt-Cultured Ultra-Filtered Milk Product Tub, 32 oz​",5.00,61.71,0.0810,0.0000,4,23g
"Hillshire Farm Ultra Thin Oven Roasted Turkey Breast Lunchmeat, 16 oz Plastic Tub, Refrigerated",5.00,61.71,0.0810,0.0000,3,16 oz
"Fresh Cherubs Grape Tomatoes, 10 oz Package",5.00,61.71,0.0810,0.0769,4,10 oz
"The Cheesecake Factory At Home Famous ""Brown Bread"" Sweet Wheat Sandwich Loaf, 18.7 oz, Kosher Rye Bread, Bag",5.00,61.71,0.0810,0.1538,5,18.7 oz
"Great Value Soup & Oyster Crackers, 9 oz",5.00,61.71,0.0810,0.0769,5,9 oz
"Fresh Whole Carrots, 1 lb Bag",5.00,61.71,0.0810,0.3077,5,1 lb
"Swanson White Premium Chunk Chicken Breast with Rib Meat in Water, 12.5 oz. (Pack of 2)",5.00,61.71,0.0810,0.3846,3,12.5 oz
"Great Value Crispy and Salty Pretzel Sticks, 16 oz",4.00,61.71,0.0648,0.1538,4,16 oz
"Great Value Fiesta Blend Finely Shredded Cheese, 8 oz Bag",4.00,61.71,0.0648,0.0000,3,8 oz
General Mills Cheerios Honey Nut Breakfast Cereal - 27.2oz,4.00,61.71,0.0648,0.1538,4,27.2oz
Plum Organics® Jammy Sammy® Snack Size Sandwich Bar Blueberry + Oatmeal 5-Count Box/1.02oz Bars,4.00,61.71,0.0648,0.0000,2,1.02oz
"Ore-Ida Extra Crispy Fast Food French Fries French Fried Potatoes, 26 oz Bag",4.00,61.71,0.0648,0.0000,3,26 oz
"Queso-Melt Original Restaurant Style Melting Cheese, 10 oz, 1 Count",4.00,61.71,0.0648,0.0000,3,10 oz
Applegate Natural Uncured Genoa Salami - 4oz,4.00,61.71,0.0648,0.0000,2,4oz
Tostitos Multigrain Scoops! Tortilla Chips-10oz,4.00,61.71,0.0648,0.0000,2,10oz
"Classico Four Cheese Alfredo Pasta Sauce, 15 oz. Jar",4.00,61.71,0.0648,0.0000,2,15 oz
"Classico Signature Recipes Traditional Pizza Sauce, 14 oz Jar",4.00,61.71,0.0648,0.2308,4,14 oz
"Pillsbury Original Crescent Rolls, Dough, 2 Pack, 16 Rolls, 16 oz",4.00,61.71,0.0648,0.1538,2,2 Pack
Chobani 20G Protein Low-Fat Greek Yogurt Drink Mixed Berry Vanilla 10 fl oz Bottle,4.00,61.71,0.0648,0.0000,2,20G
"Galbani Whole Milk Ricotta Cheese, 32 oz (Refrigerated)",4.00,61.71,0.0648,0.0000,4,32 oz
"Sargento® Sliced Muenster Natural Cheese, 11 Slices",4.00,61.71,0.0648,0.2308,3,
"Crest Toothpaste, 3DWhite Advanced Whitening Toothpaste, Radiant Mint, 3.3 oz, 3 Pack",4.00,61.71,0.0648,0.0000,4,3.3 oz
"Manwich Original Sloppy Joe Sauce, Canned Sauce, 15 oz",4.00,61.71,0.0648,0.0000,3,15 oz
"Olé Mexican Foods Xtreme Wellness High Fiber Keto Certified Flour Tortilla Wraps, 12.7 oz, 8 Count",4.00,61.71,0.0648,0.0000,3,12.7 oz
"Martin's Hoagie Rolls, 6 count",4.00,61.71,0.0648,0.0000,2,6 count
Kraft Mexican Style Four Cheese Finely Shredded Natural Cheese 16oz Bag,4.00,61.71,0.0648,0.0769,3,16oz
"Fresh Romaine Lettuce Hearts 3 Count, Each",4.00,61.71,0.0648,0.1538,4,3 Count
"Starry Lemon Lime Soda Pop, 7.5 fl oz, 10 Pack Mini Cans",4.00,61.71,0.0648,0.0000,3,7.5 fl oz
"Dial Antibacterial Defense Fresh Lavender Scent Foaming Hand Soap, 7.5 fl oz",4.00,61.71,0.0648,0.1538,3,7.5 fl oz
Alexia® Sweet Potato Fries Sweet & Savory with Sea Salt 20oz,4.00,61.71,0.0648,0.0000,4,20oz
"Great Value Classic Alfredo Pasta Sauce, 22 oz",4.00,61.71,0.0648,0.0000,1,22 oz
"Wonder Nation Boys Short Sleeve Top and Pants, 2-Piece Sleep Set, Sizes 4-18 Plus Husky",4.00,61.71,0.0648,0.0000,4,
"Sterilite File Crate, Versatile Plastic Bin with Handles, Letter or Legal File Storage, Black, Standard Size",4.00,61.71,0.0648,0.0000,1,
"Old El Paso Hot Red Enchilada Sauce, 10 oz.",4.00,61.71,0.0648,0.0000,1,10 oz
"Fresh Cosmic Crisp Apples, 3 lb Bag",4.00,61.71,0.0648,0.1538,4,3 lb
"GoGo squeeZ No Sugar Added Apple Apple Applesauce & Fruit Puree Pouches, 3.2 oz (24 Pack)",4.00,61.71,0.0648,0.0769,4,3.2 oz
Mainstays – 4x6 Picture Frame – White Step Program Tabletop Photo Frame,4.00,61.71,0.0648,0.0000,1,4x6
"Pillsbury Creamy Supreme Cream Cheese Frosting, 16 oz Tub",4.00,61.71,0.0648,0.1538,2,16 oz
"BelGioioso Freshly Shredded Parmesan Cheese, 5 oz Refrigerated Plastic Cup",4.00,61.71,0.0648,0.2308,4,5 oz
"Great Value Tomato Paste, 6 oz",4.00,61.71,0.0648,0.3077,4,6 oz
