canonical_item,units_per_week_all,units_per_week_13w,total_qty,raw_item_count,category_guess,perishable_guess
Cascade Complete Dishwasher Detergent,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Cascade Complete Dishwashing Liquid,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Cascade Platinum Dishwasher Pods,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Celery Sticks Bag,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Character Toddler Boy Briefs,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Cheetos Crunchy Cheese Flavored,0.0162,0.0000,1.00,1,Dairy,Perishable
Cheez It Grooves Sharp,0.0162,0.0000,1.00,1,Dairy,Perishable
Chicalfredo,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Chick Enchil,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Children S Motrin Ibuprofen,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Chili Seasoning Mix,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Chinet Comfort Cup,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Choc Caramel,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Chocolate Chip Cookie Dough,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Cinnamon Sticks,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Cloudline Pn,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Coffee Mate Harry Potter,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Colgate Extra Clean Full,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Colgate Whole Mouth Clean,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
