canonical_item,normalized_units_total,raw_item_count,base_unit,category_guess,perishable_guess,size_examples
Manwich Sloppy Joe Sauce,4.00,1,each,Uncategorized,Non-perishable,15 oz
Nestle Toll House Semi,4.00,1,oz,Snacks,Non-perishable,12 oz
Old El Paso Hot,4.00,1,each,Uncategorized,Non-perishable,10 oz
Queso Melt Restaurant Style,4.00,1,oz,Dairy,Perishable,10 oz
Sargento Sliced Muenster Natural,4.00,1,oz,Dairy,Perishable,
Sterilite File Crate Versatile,4.00,1,each,Uncategorized,Non-perishable,
Tropicana Pure Premium Orange,4.00,1,each,Uncategorized,Non-perishable,46 fl oz
Wonder Nation Boys Short,4.00,1,each,Uncategorized,Non-perishable,
Digiorno Frozen Pizza Rising,4.00,2,oz,Dairy,Perishable,24.6 oz; 24.7 oz
Nutella Hazelnut Spread With,4.00,2,each,Uncategorized,Non-perishable,13 oz; 33.5 oz
Oreo Double Stuf Chocolate,4.00,2,each,Uncategorized,Non-perishable,18.71 oz; 24.95 oz
Canned Pineapple,4.00,3,each,Produce,Perishable,20 oz
Ez Foil Disposable Casserole,4.00,1,each,Uncategorized,Non-perishable,
Heinz Sweet Relish Bottle,4.00,2,each,Uncategorized,Non-perishable,12.7 oz; 26 oz
Ophanie Inch Wood Floating,4.00,1,each,Uncategorized,Non-perishable,
Sterilite Small Storage Bin,4.00,1,each,Uncategorized,Non-perishable,
Colgate Extra Clean Full,4.00,1,each,Uncategorized,Non-perishable,
Frozen Sunbutter No Crust,4.00,1,each,Uncategorized,Non-perishable,
Hass Avocados Good Gather,4.00,1,each,Uncategorized,Non-perishable,
Oikos Protein Shake Shelf,4.00,1,each,Uncategorized,Non-perishable,12 fl oz
Applegate Natural Uncured Peppered,3.00,1,each,Produce,Perishable,4 oz
Baby Arugula Salad Clam,3.00,1,each,Uncategorized,Non-perishable,5 oz
Barilla Classic Whole Grain,3.00,1,each,Uncategorized,Non-perishable,16 oz
Bella Rosa Shredded Parmesan,3.00,1,oz,Dairy,Perishable,5 oz
Betty Crocker Bisquick Pancake,3.00,1,each,Uncategorized,Non-perishable,20 oz
Celery Hearts Each,3.00,1,each,Uncategorized,Non-perishable,
Classico Extra Creamy Alfredo,3.00,1,each,Uncategorized,Non-perishable,15 oz
Crunchmaster Multi Seed Crackers,3.00,1,each,Uncategorized,Non-perishable,7 oz
Dawn Powerwash Spray Refill,3.00,1,each,Uncategorized,Non-perishable,
Elbows,3.00,1,each,Uncategorized,Non-perishable,16 oz
Entertainment Collection Crackers Variety,3.00,1,each,Uncategorized,Non-perishable,13.1 oz
Fever Tree Ginger Beer,3.00,1,each,Uncategorized,Non-perishable,150 ml
Fiesta Cheese Finely Shredded,3.00,1,oz,Dairy,Perishable,32 oz
Flonase Allergy Relief Fluticasone,3.00,1,each,Uncategorized,Non-perishable,
Gatorade Cool Blue Flavor,3.00,1,each,Uncategorized,Non-perishable,
